機構名稱,機構代碼,執行長,聯絡人,電話,傳真,網址,電子郵件,地址,創辦人,成立日期,許可機關,機構屬性,成立主旨,工作重點,服務區域,服務性別,服務年齡,服務項目
戴德森醫療財團法人嘉義基督教醫院,7640,姚維仁,吳俊儀,05-27650416168,無,http://www.cych.org.tw/cychweb/cych3/default.aspx,06384@cych.org.tw,,戴德森,1962/04/29,嘉義市衛生局,綜合性服務,本著耶穌基督愛人如己的心，提供優質的全人關懷與醫療照護。,醫療服務及社區服務,"雲林縣, 嘉義市, 嘉義縣",不限,不限(0~100),"心理治療, 鑑別診斷, 早期療育, 兒童托育, 日間照顧, 安寧照顧, 醫療補助, 復健服務, 輔助器具, 物理治療, 職能治療, 語言治療, 教學研究, 社工實習, 志願服務, 醫療諮詢, 營養諮詢, 社區服務, 專業訓練, 社福資訊"
財團法人新竹市杜華神父社會福利基金會,7639,楊銀美,黃珮凌,(03)5224153310,(03)5242242,無,at@twcssc.org,3001新竹市北區新竹市北大路373號,南耀寧,2020/11/13,新竹市政府,綜合性服務,弘揚基督博愛精神，並以耶穌會士杜華神父為典範，關懷弱勢族群。,一、關於長期照顧服務事項。 二、關於兒童及少年福利事項。 三、關於婦女及家庭福利事項。 四、關於老人福利事項。 五、關於身心障礙福利事項。 六、其他符合本會設立目的之相關社會福利慈善事業。,新竹市,不限,不限(0~0),"個案輔導,個案管理,團體輔導,親職教育,日間照顧,家務助理,居家護理,喘息服務,家庭輔導,婦女救援,急難救助,生活扶助,生涯規劃,社區服務,社福資訊"
財團法人全成社會福利基金會臺北市分事務所,7638,聶玉美,顏婉絨,2708-62551406,2708-6225,https://www.daanolder.com/index.php,daanolder@gmail.com,,聶玉美,2004/11/15,內政部,老人福利,以辦理社會福利慈善事業為目的,一、社區長者服務,台北市,不限,不限(0~0),"個案輔導, 個案管理, 日間照顧, 送餐服務, 休閒娛樂, 社工實習, 志願服務, 社區服務"
台灣小豬慈善會,7637,黃再吉,黃義婷,0938412790,25633338,無,taiwanpigcharity@gmail.com,428台中市大雅區德勝路215巷15號,蕭品妍,2017/12/31,內政部,綜合性服務,本會為依法設立、非以營利為目的之社會團體，以務實社會服務、民眾福祉為依歸，促進社會安祥與溫馨為宗旨。,1.急難救助2.喪葬補助3.志工服務,全國性,不限,不限(0~0),"營隊活動, 生活扶助, 喪葬補助, 志願服務, 社區服務, 社福資訊, 其他"
財團法人台北市私立華興育幼院,7636,李菊花,楊百玲,28330150131,28330393,無,amyyang678@gmail.com,111台北市士林區仰德大道一段101號,蔣宋美齡,1956/04/01,台北市政府社會局,兒童青少年福利,"收容因公殉職軍警遺孤外,並參照國家有關法令收容社會貧苦無依兒童使成為健全國民為宗旨。","院生的起居、作息、課業、衛生、品格、人際、娛樂,均有專業人員陪伴照顧及社工輔導,並連結相關社會資源、心理諮商、志工服務和多元團體方案等。","新北市, 台北市",不限,限(3~18),"心理輔導, 個案輔導, 個案管理, 遊戲治療, 團體輔導, 兒童保護, 緊急庇護, 社福資訊"
中臺科技大學謙和賀社區長照機構,7635,蕭麗華,蕭麗華,04-24390716,22393305,無,m0921138578@gmail.com,406台中市北屯區廍子路666號,陳錦杏,2022/07/25,台中市衛生局,老人福利,為因應臺中市北屯區人口快速老化產生的照顧問題，中臺科技大學以54年的在地醫護專業服務經驗，在校園內創辦嶄新的「謙和賀日照中心」，以解決北屯鄰近地區長者生活照顧需求，建立以長者為中心的照顧網絡，由師生共同守護社區長者健康，牽好，也要顧好！,1.老人生活照顧、延緩失智失能服務。 2.環境管理與清潔。 3.活動規劃與帶領。 4.備餐服務。 ,台中市,不限,不限(0~0),日間照顧
暖暖包實驗遊唱,7634,張詅鈞,林淑君 ,2692147827,26921399,http://www.thewarmers.org.tw,paulinel@bondtec-tape.com,,張詅鈞,2014/10/18,台北市演藝團體,綜合性服務,"暖暖包實驗遊唱”, 是來自文教, 金融, 企業, 學有專精喜歡唱歌的朋友, 面對漸入高齡化社會的台灣, 決定整合我們的興趣, 閱歷和資源, 以實驗遊唱的精神投入公益, 將歌聲及溫暖遊唱到偏鄉, 人群, 舞台….以身做則實驗不退休的凍齡人生.  因此在 2014年 12月 3日成立 “暖暖包實驗遊唱”.暖暖包期許在寒冷難耐的當下即時發熱, 為人們帶來溫馨的力量, 方能再邁開步伐勇往直前! 也希望在每個開心時刻為朋友灑下絢爛音符, 賓主同歡!除了每位團員化身為暖暖包在需要的地方以歌聲散播歡樂, 也期待未來能與不同的演唱團體及公益平台合作結盟,在這片土地撒遍愛的種籽, 讓愛的行動茁壯成林!","做公益, 寒處送暖, 喜處同歡",全國性,不限,不限(0~0),"志願服務, 其他"
社團法人中華寵愛健康發展促進會,7633,陳淑瑛,陳淑瑛,0227972097,無,https://www.ncphdtw.org/,ncphd.tw2016@gmail.com,100台北市中正區八德路1段46號9樓,陳淑瑛,2016/12/23,內政部,動物保護,主要宗旨以推廣「寵物是家人，零棄養零虐殺」觀念，希望飼主與寵物能同時追求快樂均衡的身心健康發展，回歸天然的食療養生方式預防保健，珍惜愛護動物及自然資源，並邀集企業及店家共同打造一個更親寵友善的環境和福利。,主要務工作包括,全球性,不限,不限(0~0),"生涯規劃, 職能評估, 職業訓練, 職訓補助, 教學研究, 社工實習, 學校社工, 志願服務, 社區服務, 社教宣導, 專業訓練, 權益倡導"
財團法人新北市私立紫蓮慈善事業基金會,7632,李溪泉,鄒佩珮,02-25936611,02-25851211,無,a0906491339@gmail.com,103台北市大同區臺北市大同區承德路三段293號2樓,李溪泉,2019/07/18,新北府社助字,兒童青少年福利,本基金會將募集更多愛心志工共同奉獻於慈善事業，希望因愛心付出，挽救更多不幸和貧困的家庭。因我們的温暖的關懷，而成就、幫助貧童與其貧病受困家庭可以獲得適當的照顧與改善。 本基金會將在淡水籌建「紫蓮兒童之家」，養育失親無依孤兒。將來各有所長 報答回饋社會國家，長大懂得感恩、去幫助更多弱勢、報答廣大資助人、愛的循環和期待。透過教育以及社會善良資助，改變無限的可能，在社會上各擁成就，榮耀資助人的愛心和祝福，讓愛的光輝照亮善良世界。 祈願愛心的您支持「紫蓮慈善基金會」慈善事業。,1.經濟弱勢學童課後激勵班、才藝學習 2.經濟弱勢家庭及重大意外變故時，提供單次或短期之急難救助 3.街友送餐、 4.籌建淡水紫蓮育幼院,新北市,不限,不限(0~0),"課後照顧,急難救助,生活扶助,喪葬補助"
社團法人花蓮縣身障弱勢及原住民關懷服務協會,7630,呂佳瑩,呂佳瑩,0973616319,03-8882006,http://https://www.facebook.com/HUAcare.service,s221807@yahoo.com.tw,"981花蓮縣玉里鎮康樂街32號 ",呂佳瑩,2012/12/25,花蓮縣政府,綜合性服務,1. 協助殘障者、老人、原(新)住民、低收戶、單親家庭、弱勢邊緣人、 部落關懷輔導促使社會接納，使之人盡其才，物盡其用，並定期諮詢轉介舉辦倡導社會福利與推行事項及愛心義剪志工團隊服務。2.培訓殘障者、老人、原(新)住民、中(低)收入戶、單親家庭、弱勢邊緣人、及部落訓練第二專長，重建人際互動與就業機會。3.協助提供有關生活輔助器具及食物銀行、輔具銀行、家具銀行諮詢輔助服務窗口，並發展續食、供餐文化與志工人才培育與訓練，促進就業相關產業與常態職場。4.定期辦理聯誼康樂服務。5.發展地方、社區自有產業以協助本會服務對象，改善生活、就業、培育第二專長計劃，輔導進入常態職場並增進相關就業產業福祉。6.協助社區設立永續經營及交流模式。7.發展社區獨特文化及保存與志工人才培育，使之人盡其才進用。8.生態教育資源調查及維護。,1. 協助殘障者、老人、原(新)住民、低收戶、單親家庭、弱勢邊緣人、 部落關懷輔導促使社會接納，使之人盡其才，物盡其用，並定期諮詢轉介舉辦倡導社會福利與推行事項及愛心義剪志工團隊服務。2.培訓殘障者、老人、原(新)住民、中(低)收入戶、單親家庭、弱勢邊緣人、及部落訓練第二專長，重建人際互動與就業機會。3.協助提供有關生活輔助器具及食物銀行、輔具銀行、家具銀行諮詢輔助服務窗口，並發展續食、供餐文化與志工人才培育與訓練，促進就業相關產業與常態職場。4.定期辦理聯誼康樂服務。5.發展地方、社區自有產業以協助本會服務對象，改善生活、就業、培育第二專長計劃，輔導進入常態職場並增進相關就業產業福祉。6.協助社區設立永續經營及交流模式。7.發展社區獨特文化及保存與志工人才培育，使之人盡其才進用。8.生態教育資源調查及維護。,"全國性, 台北市, 高雄市, 宜蘭縣, 花蓮縣, 台東縣",不限,不限(0~0),"個案輔導, 個案管理, 團體輔導, 親職教育, 課後照顧, 關懷專線, 送餐服務, 休閒娛樂, 家庭輔導, 婦女救援, 急難救助, 獎助學金, 喪葬補助, 輔助器具, 生涯規劃, 職訓補助, 就業資訊, 就業輔導, 庇護工廠, 特殊教育, 志願服務, 聯合勸募, 社區服務, 社教宣導, 專業訓練, 社福資訊, 權益倡導, 政策分析, 其他"
社團法人中華民國紅鼻子關懷小丑協會,7629,陳慧潔,徐子桓,02-28336260,02-33930907,https://drn.org.tw,drn@drn.org.tw,111台北市士林區文昌路179巷16號1樓,馬照琪,2017/07/06,內政部,健康醫療,以培訓台灣的關懷小丑為目的，並推廣專業小丑表演進入醫療環境之中。透過遊戲、互動與肢體表演等方式，幫助病童在精神、情感與身體各方面的投入，激發智力與創造力，同時紓緩身處醫院的緊張感。,紅鼻子關懷小丑協會的宗旨為，培訓專業關懷小丑，將量身訂做的即興演出，帶進台灣的醫療與照護機構，用歡笑陪伴每個需要的病友，讓他們重拾對生命的信心及自我肯定。撫慰醫院每顆疲累的心靈，紓解家屬與醫護人員的壓力，並透過教育推廣活動，協助第一線的助人工作者，讓更多民眾關注友善醫療。我們希望藉由紅鼻子醫生的存在，將歡樂與溫暖注入醫療與照護環境之中，改善醫病關係，進而推廣友善醫療與全人照護的精神，把幽默的力量傳遞到各個角落，讓微笑的線條渲染到每個人的臉龐。,全國性,不限,不限(0~0),"遊戲治療, 休閒娛樂, 教學研究, 國際交流, 其他"
社團法人中華俠客煮國際關懷協會,7628,賴雪如,賴雪如,0980029966,0985958998,無,yuki035046@hotmail.com,,余明雄,2018/11/17,內政部,綜合性服務,本會為依法設立、非以營利為目的之社會團體，以積極有效的態度反思 全球弱勢族群的民生問題 ，在浪費與危機當下結合專業廚師及各界對公益慈善事業具高度熱誠之個人及企業團體，辦理社區服務活動，推動國際人道關懷。善用盛食(剩食)及友善資源深入各個角落傾聽被漠視的聲音，授予不同專業技能、協助社會適應與信心重建、推展相關福利業務、開發就業合作機會、促進國際相關組織合作交流為宗旨。,提供單親清寒 、弱勢家庭 、獨居老人及急難災變戶….等，免費供餐、便當、送餐等。不定期舉辦社區共餐及活動，透過烹飪教學、DIY手作教學….等，凝聚社區長者與孩童互相協助照應，增進互動關係。集結且輔導及培訓各項專業才藝技能人才，協助開發並推廣使其得以發揮長才之機會與舞台。配合政府機關及民間相關機構處理之慈善公益事項。,全球性,不限,不限(0~0),"遊戲治療, 日間照顧, 課後照顧, 家務助理, 送餐服務, 急難救助, 生活扶助, 職業訓練, 就業輔導, 社區服務, 專業訓練, 海外救援, 國際交流"
社團法人郭東修（冬瓜）生命教育紀念協會,7627,劉柏君,陳叡玄,02-25312799,02-25312790,https://owt.com.tw/charity-donations/,dklife0901@gmail.com,104台北市中山區長春路100號7樓之12,郭憲鴻,2020/04/06,內政部,綜合性服務,為了緬懷及宏揚殯葬達人郭東修（冬瓜）先生，為弱勢族群奉獻之精神，並凝聚社會各界互助力量。協會將義助弱勢族群殮葬，及後續清貧家庭資源之提供。我們致力於將生命禮儀轉化為生命教育，傳遞愛與奉獻的精神，並造福弱勢族群。,無家者及弱勢家庭治喪服務；弱勢家庭喪親生活急難扶助；弱勢者關懷方案,全國性,不限,不限(0~0),"急難救助,生活扶助,喪葬補助,生涯規劃,志願服務,社教宣導"
東慧國際諮詢股份有限公司,7626,劉士民處長,林欣怡,(07)972996214,(07)9729959,無,kaohsiung@tecnos.com.tw,,黃茂雄,1998/06/16,臺北市政府,綜合性服務,為企業儲備人力資本，為人才建構流通平台,人力媒合,全國性,不限,不限(0~0),其他
慶全學聯文化有限公司,7625,賈子慶,劉昭嶽,02-55784236,02-55784236,無,chaoyueh.liu@gmail.com,,賈子慶,2017/11/29,台南市政府,教育與科學,為推動台灣線上教育的發展，我們公司成立了線上教育的平台。之所以建立免費註冊使用的機制，是因為旨在幫助因為疫情受影響的講師們，可以轉線下授課為線上教學，有更多的渠道可以發揮所長。,透過免費註冊的機制，大力推廣並輔導各類講師將線下課程轉向線上課程，並且將課程轉變為數位化。不定期提供免費的場所供各類機關團體、協會組織、專業講師借用辦理公益講座活動。,"全球性, 全國性",不限,不限(0~0),"教學研究, 專業訓練, 社福資訊, 其他"
社團法人金門縣康復之友協會附設美心工作坊,7624,章美龍,曹譽翔,082311559,082375411,無,terry0rz@hotmail.com.tw,,楊榮時,2011/10/07,金門縣政府,身心障礙福利,透過就業服務，打造出屬於身心障礙的優秀工作團隊，對於社會，能打破汙名化；對於家庭，能透過服務個案進而扶持一個家庭。,一、提升工作能力不足之身心障礙者工作適應及能力。美心工作坊二、協助工作能力不足之身心障礙者，有機會從庇護性就業進入支持性、競爭性就業。三、提供工作能力不足之身心障礙者就業安置。四、結合政府及社會資源建構完善之庇護性就業機制。,金門縣,不限,限(15~70),"個案管理, 生涯規劃, 職能評估, 職業訓練, 職訓補助, 就業資訊, 就業輔導, 庇護工廠, 社工實習, 社區服務"
社團法人屏東縣海口人社區經營協會,7623,曾鴻志,曾培恩,0986131474,08-8334296,https://zh-tw.facebook.com/hico17661216/,hico890109@hotmail.com,,曾鴻志,2000/01/09,屏東縣政府,綜合性服務,宗旨,業 務 介 紹1.承辦東港區新住民家庭服務中心，辦理新住民生活適應班、識字班、考照班等課程及個案服務，年服務量達15000人次以上。2.辦理新住民家庭兒童課後輔導照顧服務「東港新住民課後照顧輔導專案-疼惜新台灣之子」專案，後擴展為「弱勢家庭兒童課後輔導照顧班」。3.擔任屏東地檢署義務勞務執行單位。4.辦理兒童品格週末營。5.辦理暑期快樂兒童營、兩性平等教育。6.支援政府或民間單位業務，如辦理社區志工訓練、婦女健康講座、求職及職前教育訓練…等。7.參與中華基督教急難救助協會1919團隊，在社區家庭發生重大急難事件，協助申請急難救助金或環境清理、消毒等。8.承辦東港鎮樂齡學習中心業務。9.與台灣全民食物銀行、基督教芥菜種會及台中大慶食物銀行合作，辦理「海口人社區食物銀行暨社區愛心冰箱」業務，協助弱勢家庭獲得實物的資助。同時擔任屏東縣物資轉運站功能，將各界捐贈大量物資轉運分享給30個服務弱勢家庭單位。服 務 項 目/方 式一、承辦屏東縣東港區新住民家庭服務中心,屏東縣,不限,不限(0~0),"心理輔導, 個案輔導, 個案管理, 親職教育, 課後照顧, 休閒娛樂, 營隊活動, 婦女救援, 生活扶助, 社工實習, 聯合勸募, 社區服務, 社教宣導, 社福資訊"
社團法人中華華美媒體傳播協會,7622,趙良慧,陳瑋,02-28411965202,02-28413988,http://www.needsradio.org.tw/joomla2/index.php/needs-154.html,needsradio@gmail.com,111台北市士林區翠山街34號,趙良慧,2012/05/25,內政部,綜合性服務,提升廿一世紀華人軟實力對全球各民族之影響力，以文化心靈產業為核心價值；使用傳播精神文明為對話媒介，推動全球華語媒體間之交流合作與資源整合；以促進新媒體發展、數位匯流傳播媒介之研究與應用為成立目標。以期符合廿一華人世紀，從台灣出發全面提升法政、社會、經濟、文化、藝術，對世界文明的積極正向之影響力。 ,為回應時局所缺──媒體作為社會公器來服務大眾所需──以台灣極少數的社團法人(NGO、NPO)形式──即中華華美媒體傳播協會──來經營，小心而精準地透過其轄下三大中心「needs媒體傳播中心」、「needs全人關懷中心」、「觀點新聞編採中心」，這三個在事工上垂直分工的機構，來實踐初衷，迥異於坊間收視率主導節目開播，「全懷中心」透過專業性觀察、分析與評估，指出關懷的族群所在；而「媒傳中心」則接續研擬以何種媒介形式，包括,"全球性, 全國性",不限,不限(0~0),其他
星空交響管樂團,7621,莊曜宇,吳瑋儀,032522585304,034910009,https://www.sswb.com.tw/,edp.windband@gmail.com,"324桃園市平鎮區廣成街61號B1 ",陳星澔,2014/06/20,桃園市政府,文化藝術,「星空交響管樂團Stars Symphonic Wind Band」創立於2013年8月，成立之初以玩「樂ㄩㄝˋ」為宗旨，聚集各界管樂好手，一同享受音樂之喜樂。樂團發展過程來自團員間友誼互信、行政組織建立以及音樂專業表現才能有如此成果。 成立之初，以「吃喝玩樂團」之名於2013年桃園國際管樂節大賽中，榮獲社專組冠軍，團員們為延續其理念，且受當時中壢市魯明哲市長（現任桃園市議員）之期盼，樂團於2014年1月更名為「中壢市民管樂團」，期望吸引中壢地區愛樂者從地區開始一同玩「樂」，更期待給予年輕音樂家一個完善的舞台，更於2017年桃園市升格直轄市後更名為「星空交響管樂團」。 期待能以浩瀚無垠的星空為榜樣，讓每位演奏家都像星星一樣閃亮活躍於星空的大家庭裡，不僅肩負地區音樂藝術提升及推廣的使命，更能貼近愛樂者，閃耀於每位愛樂者心中。,管樂團表演及排練薩克斯風重奏團、打擊樂團表演各式婚喜慶樂團及室內樂、流行音樂演出動漫音樂會為本團表演專長個別樂器練習團體樂團排練一團、二團、三團、薩克斯風團等樂團演出動漫音樂會、親子音樂會、正式音樂會、婚禮、開幕、尾牙商演,"全國性,全球性",不限,不限(0~0),"休閒娛樂,聯誼活動"
社團法人中華民國目目協會,7620,Penny,Allie,0287861196,0287865817,https://muve.org.tw/,hello@muve.org.tw,"100台北市中正區重慶南路三段2號4樓 ",Penny,2019/07/16,內政部,身心障礙福利,以透過科技方式協助身心障礙者進行認知學習與視知覺復健、提升操作電腦效率達到溝通表達與自立生活為宗旨。,目目非營利 MUVE NPO 用科技幫助真正需要的人，讓重度身障者因科技享有一般人的便利，讓這片土地因科技的溫度長出更多美好。 　【科技研發】我們貼近身障者的需求，研發與設計出最符合身障者使用經驗的科技應用；並為求能將科技輔具的協助發揮出最大的效益，因此，「眼動老師」的概念就此誕生。　【培育師資】由資深的眼動老師帶領新加 入的夥伴，從課前的教材編輯到親自去到學生家中教課，透過每次的教學實戰經驗，讓新夥伴都能扎扎實實地累積教學經驗。  　【一對一課程教學】依照不同病症跟需求客製化的課程，一步一步用科技的溫度翻轉身障人生。（包含,全國性,不限,不限(0~0),"個案輔導, 個案管理, 遊戲治療, 早期療育, 在宅服務, 生活扶助, 復健服務, 輔助器具, 職能治療, 語言治療, 職能評估, 職業訓練, 特殊教育, 志願服務, 權益倡導"
財團法人腦性麻痺基金會,7619,何麗梅,何麗梅,03-2129229507,03-3016871,http://www.cptw-foundation.org/Contact.aspx,cptw.fund@gmail.com,338桃園市蘆竹區南崁路175巷10號5樓 ,黃春賢,2015/05/29,桃府社團,身心障礙福利,腦性麻痺者基金會於2015年5月29日成立，以培養腦麻青年獨立自主能力與正確生活態度為主要目標，提昇視野、開闊胸襟，並為其家庭增能，適當連結與運用資源，強化解決問題能力。讓腦麻青年不僅為服務使用者，也能在適當協助下，成為服務的提供者。,腦性麻痺者所需要的不是憐憫與無微不至的生活照顧，而是教育、機會、適切的支持協助、正向的鼓勵與耐心陪伴。 生命終有出口，只要家人、學校、社會給予正確的尊重與對待，有許多腦性麻痺患者將能在正向 的支持下，發揮生命的潛能，做出對社會有貢獻的行動，從被他人服務轉型為服務他人 的正面力量。 1.教育,桃園市,不限,不限(0~0),"心理輔導,團體輔導,親職教育,日間照顧,喘息服務,家庭輔導,急難救助,醫療補助,輔助器具,特殊教育,社工實習,志願服務,專業訓練,社福資訊,權益倡導,國際交流"
中華急救教育推廣協會,7618,吳冠漢,吳冠漢,077355101,077355101,無,cemea119@gmail.com,802高雄市苓雅區中正一路306號4樓之3,吳冠漢,2009/10/13,內政部,健康醫療,本協會成立之宗旨，主要在推動種急救教育之研究發展、推廣急救技術及相關技能、促進與相關學術團體之交流，並舉辦相關學術演講/訓練課程，以推廣急救教育，並培訓急救技能指導員，以期能改善整體緊急醫療的水準。　　	事實上，要提昇台灣整體的緊急醫療水準，單靠醫護人員的努力是不夠的。目前由於醫病雙方認知的不對等，以及急救教育相關知識的普遍缺乏，除了病人的權益受到影響外，也衍生出了許多不必要的糾紛及問題。如何促進雙方的溝通並提昇一般民眾的醫學知識，「急救教育及技能的推動」以及「跨醫院的研究教育人才整合」是絕對必須的第一步。　　	因此，協會成立的首要目標，就在於打破醫院之間、以及醫護人員/民眾的籓籬，本協會歡迎各醫院對急救研究及教育有熱忱、專業的醫護人員或民眾，團結在一起，集合眾人的力量，以集思廣益，並同朝我們的目標努力。,1.研發出更適合各階層人員的客製化急救教育/技能相關課程，並深入各地區以小班制的方式授課，讓各界不同須求的學員，不管是一般民眾想要多了解特定疾病的照護方式，或是醫護人員想要更充實自己的專業知識，都能更方便的學習到相關知識，以期能在須要時能學以致用，真正挽回寶貴的生命。2.目前急救教育的相關研究，大多以自己的醫院為基礎來進行，較資深者才有機會聯合各醫院的資源，以從事跨醫院的研究。此委員會的目標在聯合各醫院對論文研究寫作有興趣的醫護人員，以分享資源、共同收案及研究、完成mutiple center或結合醫學中心/區域/地區醫院的研究計劃，並將研究成果確實應用，以提昇緊急醫療水準。,全國性,不限,不限(0~0),"教學研究, 專業訓練"
臺中市山海屯聲暉協進會,7617,謝玉玲,張庭綺,04-25314712,04-25343016,http://soundhome517.cms.infotreeinc.com/,soundhome517@gmail.com,,江俊明,1992/05/17,臺中縣政府,身心障礙福利,"1.倡導聽障兒童學前口語教育,促進回歸主流教育.2.結合聽障者家長及熱心人士力量,提升聽障者教育品質與就業機會.3.提供聽障者家長專業知識訊息.4.聯繫國內外有關機構,增進專業知識交流",一、聽障福利與教育諮詢二、聽障就學轉銜與輔導三、聽障生課後補救教學四、聽障家庭關懷訪視五、家長支持性團體活動六、親子輔導與成長活動七、社會教育宣導與推展八、聽障者休閒才藝課程,台中市,不限,不限(0~0),"個案輔導, 個案管理, 團體輔導, 親職教育, 早期療育, 課後照顧, 在宅服務, 營隊活動, 聯誼活動, 手語傳譯, 志願服務, 醫療諮詢, 社教宣導, 社福資訊, 權益倡導"
社團法人屏東縣城市福音全人關懷協會,7616,張嘉哲,黃茹意,0973772004,無,無,pt.gospel.city@gmail.com,,王大衛,2019/04/27,屏東縣政府,兒童青少年福利,"(1)辦理品德教育培訓兒童及青少年等各項服務。(2)關懷及輔導相關高關懷兒童及少年之各項服務。(3)辦理家庭教育成長等事項。(4)辦理長照及老人關懷照顧業務各項服務措施(5)辦理職能培訓及知性課程等事項。(6)推廣社區社會服務及志工訓練相關事項。(7)其他有關兒童及青少年身心發展事項。(8)推動幼兒托育教育人員教育與講習,辦理幼兒托育、幼教等相關業務。(9)推展文化教育各項事宜",青少年技職培訓兒童及少年才藝班粉絲頁https://www.facebook.com/citygospal,屏東縣,不限,不限(0~0),"心理輔導, 團體輔導, 休閒娛樂, 生涯規劃, 就業資訊"
中華民國松村社會福利暨身心障礙發展協會,7615,廖天裕,黃愛文,02-22915515,02-82956629,無,judy61523@gmail.com,241新北市三重區富貴里032鄰集賢路１０１號二樓,李偉立,2018/08/19,內政部,身心障礙福利,以從事推廣社會福利服務工作，增進人群福祉、關注社會弱勢族群、重視社會福利專業人員發展及研究，提昇專業技巧及知能，嘉惠服務使用者為宗旨。,一、從事推廣社會福利服務工作、促進人類福祉。二、關注社會弱勢族群，保障其人權，以提昇其生活品質，包括身心障礙者、兒童少年、婦女、老人。在身心障礙方面提供個案管理、職業重建及各項權益推動等服務；兒童少年及婦女方面提供福利服務及相關保護服務工作；老人方面則提供居家、社區及各項福利服務。最終提升問題預 防能力，增進生活品質。三、重視社會福利專業人員發展及社會福利服務研究，提昇其專業技巧及知能，以嘉惠服務使用者。四、推動社區營造，凝聚社區意識。,新北市,不限,不限(0~0),"復健服務, 志願服務, 醫療諮詢, 社福資訊"
社團法人台北市華德福教育推廣協會,7614,蔡佳峰 理事長,曾本瑜,02-2236-6793,02-2236-6793,https://sites.google.com/view/txwaldorf,penyu.tseng@tongxin-waldorf.org,116台北市文山區試院路2號,鄭同僚 常務理事,2013/05/26,台北市政府教育局,教育與科學,本會為依法設立，非以營利為目的之社會團體，以人智學自由平等博愛福利社會的理念與精神，推展華德福教育，並協助成立華德福十二年完全中小學校，支持社群學習成長，建立健康和諧與善美真社會。,本會之任務如下,"全國性, 台北市",不限,不限(0~0),"親職教育, 營隊活動, 教學研究, 專業訓練"
計算機網路二零二零,7613,柯文哲,柯文哲,021234567887,0212345687,無,BBCsherlock@anonymous.com,,柯文哲,2020/10/14,台灣小學,兒童青少年福利,計算機網路課程http實驗,測試,全球性,不限,不限(0~0),心理輔導
社團法人中華飛揚關懷協會,7612,馬呈豪（秘書長）,彭康明（社工督導）,(03)823537533,(03)8225917,https://www.sunnyyoung970.com/,sunnyyoung970@gmail.com,"970花蓮縣花蓮市民族路52號 ",蔡志堅（理事長）,2013/09/14,內政部,綜合性服務,本會為依法設立，以實踐基督精神愛人如己、施比受更有福之理念，推動社區服務，建立以愛為核心的分享平台，並提供弱勢學子、家庭及樂齡族群之資源協助。透過平台，讓愛點亮各個需要的角落為宗旨。,1.弱勢家庭服務平台,花蓮縣,不限,不限(0~0),"團體輔導, 親職教育, 課後照顧, 休閒娛樂, 營隊活動, 戒毒戒癮, 社工實習"
社團法人台灣相信社會福利發展協會,7611,蘇栢崧,蘇先生,04-24963180,04-24963110,www.taiwanbelieve.com/,taiwan.believe1117@gmail.com,412台中市大里區至善路242號一樓、四樓,蘇栢崧,2018/11/17,內政部,老人福利,這是一份愛的社會企業，緣起於跨專業人士的感召與參予，一群理念契合的好友，想共同為社會福利付出而決定創立｢台灣相信社會福利發展協會｣。 以各司其職善用自身專業為前提，將經驗和技能整合，針對老人福利貢獻所學，推展長照工作，建構優質社區照顧體系，提供專業照顧服務，秉持關懷長者視如己親的信念，守護長者身心靈的健康，滿足在地健康老化之需求，使長者活出自主與尊嚴；享有希望和快樂。,日間照顧中心/居家照顧/巷弄長照站,全國性,不限,不限(0~0),"個案管理,日間照顧,喘息服務,志願服務,社區服務,其他"
社團法人台灣樂作創益協會,7610,鍾字汛,陳正評,03-3011626,03-3011655,https://www.happywork.com.tw/,service@happyworks.com.tw,330桃園市桃園區大興西路2段6號17樓之一,陳愛珠,2018/10/10,內政部,綜合性服務,從早療專業出發 解決身障青年困境　創辦人愛珠女士從早療服務開做起，一路服務近20年，輔導超過500位個案，不捨早療的孩子從學校畢業後，訓練及進步就中斷，甚至面臨求職碰壁及無處可去的困境。因此，在107年與兩位專業夥伴，一起成立台灣樂作創益協會，期望用快樂、創新、創益且多元的培訓方式，打造身心障礙者的專業學習場域，幫助他們朝向自立生活的目標前進。,"針對無法進入庇護性就業服務場域之身心障礙者,於社區日間作業設施提供以作業活動為主,自立生活及休閒文康為輔,以協助身心障礙者會適應能力及生活品質","桃園市,全國性",不限,不限(0~0),"心理輔導,個案輔導,個案管理,團體輔導,日間照顧,就業輔導,社福資訊,權益倡導"
